ACRES,,BOROUGH,ZIPCODE
1.14,,Q,11691
180.85,,Q,"11413, 11422"
0.247,,Q,11374
0.054,,X,10456
0.342,,X,10456
0.782,,X,10456
0.549,,X,10457
3.348,,X,10456
0.18,,X,10456
1.341,,X,10459
0.367,,X,10459
0.459,,Q,11691
0.396,,Q,11433
0.135,,Q,11101
413.8,,X,10465
0.082,,Q,11414
0.059,,X,10472
0.44,,X,10460
3.21,,X,10460
3.301,,X,10472
1.03,,Q,11693
16.944,,R,10312
0.252,,R,10312
0.545,,M,10012
1.085,,Q,11368
4.796,,Q,11693
0.32,,M,10013
0.834,,Q,11362
0.836,,Q,11362
1.277,,Q,11375
1.466,,Q,11354
2.035,,Q,11362
1.265,,Q,11365
12.66,,B,11238
0.23,,X,10459
0.122,,M,10002
0.525,,M,10011
1.451,,M,10002
0.69,,M,10023
1.815,,X,10459
3.596,,Q,11367
144.29,,X,"10463, 10471"
1.351,,B,11207
0.983,,B,11207
1.28,,X,10473
0.426,,X,10474
1.919,,Q,11372
13.894,,Q,11364
2.98,,Q,11365
9.154,,Q,11357
0.25,,Q,11358
1.429,,Q,11361
0.01,,Q,11357
1.59,,M,10017
45.79,,Q,11361
55.22,,Q,"11359, 11360"
3.474,,Q,11358
1.048,,M,10029
59.629,,Q,"11356, 11357"
0.09,,Q,11356
0.456,,M,10037
0.02,,Q,11362
0.023,,Q,11362
0.02,,Q,11361
0.316,,Q,11360
110.93,,Q,11360
22.74,,M,"10027, 10031"
2.759,,M,10016
0.2,,Q,11432
1.652,,Q,11364
0.319,,Q,11354
0.02,,Q,11362
0.635,,M,10012
0.287,,Q,11356
5.4,,Q,11361
29.888,,M,10026
3.39,,B,11218
0.625,,M,10019
8.8,,M,10007
0.09,,X,10457
1.016,,M,10004
42.583,,B,"11208, 11239, 11414"
132.2,,B,"11236, 11239"
2.203,,B,11239
2.436,,M,10010
64.665,,B,11234
0.39,,X,10461
6.05,,B,11208
1.55,,Q,11693
0.004,,B,11209
7.156,,X,"10452, 10453"
1.052,,M,10029
1.107,,X,10451
0.008,,Q,11417
0.061,,M,10003
0.809,,B,11216
0.101,,X,10451
1.075,,X,10451
1146.43,,X,"10467, 10470, 10471, 10705, 10705"
1.492,,Q,11691
0.097,,B,11221
0.025,,B,11233
0.003,,Q,11414
0.336,,X,10459
3.017,,B,11212
0.553,,X,10458
1.578,,M,"10024, 10025"
0.94,,X,10455
9.238,,X,10469
0.018,,M,10026
10.502,,M,10009
2.3,,M,10035
1,,M,10026
0.093,,B,11201
0.346,,M,10016
0.67,,B,11212
1.485,,B,11233
0.739,,B,11211
1.398,,B,11212
16.16,,B,11207
3.014,,R,10303
0.705,,B,11205
1.64,,M,10035
5.188,,R,10305
0.095,,M,10023
0.332,,B,11206
0.436,,M,10039
0.329,,M,10017
4.945,,B,11204
0.299,,B,11235
11.39,,X,10468
9.934,,R,10310
0.232,,X,10457
4.635,,Q,11433
1.16,,X,10473
0.05,,X,10459
0.151,,B,11233
0.082,,M,10029
0.096,,M,10029
0.093,,M,10029
0.095,,X,10456
0.17,,M,10022
0.919,,X,10456
0.66,,B,11226
0.2395329,,Q,11691
0.957,,Q,11414
0.623,,M,10036
0.287,,M,10012
4.14,,B,11201
1.82,,X,10469
0.233,,B,11201
1.884,,B,11201
1.195,,B,11201
0.11,,X,10454
0.356,,Q,11423
8.892,,B,11224
60.394,,Q,11359
5.82,,Q,11105
0.207,,X,10457
0.67,,X,10451
0.269,,M,10010
0.319,,B,11211
0.053,,M,10027
149.54,,Q,"11096, 11430, 11691"
119.095,,X,10473
0.117,,M,10027
0.054,,Q,11434
0.08,,M,10009
0.03,,M,10009
0.229,,Q,11377
0.145,,Q,11103
0.23,,M,"10017, 10022"
0.06,,M,10009
2.25,,X,10451
1.702,,B,11224
0.159,,Q,11694
12.247,,R,10314
3.8,,M,10023
2.443,,M,10023
0.09,,B,11201
0.92,,B,11201
1.093,,B,11201
1,,X,10471
2.446,,Q,11364
0.514,,Q,11429
0.274,,Q,11429
2.7,,Q,11365
0.211,,M,10017
1.837,,Q,11416
6.699,,M,10033
1.67,,M,10014
0.171,,X,10451
0.16,,X,10455
0.029,,X,10455
0.048,,M,10029
0.172,,X,10460
100.873,,Q,11355
47.08,,Q,11426
2.059,,Q,11426
4.231,,X,10455
12.224,,X,10474
1.377,,B,11225
